start time;end time;elapsed utime;curr pitch;curr yaw;pwm pitch;pwm yaw
1780907627892978;1780907627892980;2;500;-500;-0.990000;-0.990000
1780907627903780;1780907627903782;2;500;-500;-0.990000;-0.990000
1780907627914150;1780907627914151;1;500;-500;-0.990000;-0.990000
1780907627924319;1780907627924321;2;500;-500;-0.990000;-0.990000
1780907627934611;1780907627934612;1;500;-500;-0.990000;-0.990000
1780907627944806;1780907627944807;1;500;-500;-0.990000;-0.990000
1780907627955036;1780907627955037;1;500;-500;-0.990000;-0.990000
1780907627965225;1780907627965226;1;500;-500;-0.990000;-0.990000
1780907627975436;1780907627975437;1;500;-500;-0.990000;-0.990000
1780907627985682;1780907627985684;2;500;-500;-0.990000;-0.990000
1780907627995883;1780907627995884;1;500;-500;-0.990000;-0.990000
1780907628006081;1780907628006082;1;500;-500;-0.990000;-0.990000
1780907628016292;1780907628016293;1;500;-500;-0.990000;-0.990000
1780907628026488;1780907628026488;0;500;-500;-0.990000;-0.990000
1780907628036802;1780907628036803;1;500;-500;-0.990000;-0.990000
1780907628047025;1780907628047026;1;500;-500;-0.990000;-0.990000
1780907628057347;1780907628057348;1;500;-500;-0.990000;-0.990000
1780907628067540;1780907628067540;0;500;-500;-0.990000;-0.990000
1780907628077759;1780907628077761;2;500;-500;-0.990000;-0.990000
1780907628087956;1780907628087957;1;500;-500;-0.990000;-0.990000
1780907628098249;1780907628098251;2;500;-500;-0.990000;-0.990000
1780907628108580;1780907628108581;1;500;-500;-0.990000;-0.990000
1780907628118907;1780907628118908;1;500;-500;-0.990000;-0.990000
1780907628129130;1780907628129131;1;500;-500;-0.990000;-0.990000
1780907628139458;1780907628139459;1;500;-500;-0.990000;-0.990000
1780907628149711;1780907628149712;1;500;-500;-0.990000;-0.990000
1780907628159941;1780907628159942;1;500;-500;-0.990000;-0.990000
1780907628170254;1780907628170255;1;500;-500;-0.990000;-0.990000
1780907628180427;1780907628180429;2;500;-500;-0.990000;-0.990000
1780907628190652;1780907628190653;1;500;-500;-0.990000;-0.990000
1780907628200776;1780907628200778;2;500;-500;-0.990000;-0.990000
1780907628211053;1780907628211063;10;500;-500;-0.990000;-0.990000
1780907628221317;1780907628221318;1;500;-500;-0.990000;-0.990000
1780907628231559;1780907628231561;2;500;-500;-0.990000;-0.990000
1780907628241662;1780907628241662;0;500;-500;-0.990000;-0.990000
1780907628251839;1780907628251840;1;500;-500;-0.990000;-0.990000
1780907628262117;1780907628262118;1;500;-500;-0.990000;-0.990000
1780907628272326;1780907628272327;1;500;-500;-0.990000;-0.990000
1780907628282585;1780907628282586;1;500;-500;-0.990000;-0.990000
1780907628292825;1780907628292826;1;500;-500;-0.990000;-0.990000
1780907628303037;1780907628303039;2;500;-500;-0.990000;-0.990000
1780907628313226;1780907628313228;2;500;-500;-0.990000;-0.990000
1780907628323514;1780907628323516;2;500;-500;-0.990000;-0.990000
1780907628333651;1780907628333652;1;500;-500;-0.990000;-0.990000
1780907628343798;1780907628343799;1;500;-500;-0.990000;-0.990000
1780907628353983;1780907628353983;0;500;-500;-0.990000;-0.990000
1780907628364073;1780907628364074;1;500;-500;-0.990000;-0.990000
1780907628374296;1780907628374297;1;500;-500;-0.990000;-0.990000
1780907628384559;1780907628384560;1;500;-500;-0.990000;-0.990000
1780907628394787;1780907628394787;0;500;-500;-0.990000;-0.990000
1780907628404982;1780907628404983;1;500;-500;-0.990000;-0.990000
1780907628415353;1780907628415354;1;500;-500;-0.990000;-0.990000
1780907628425586;1780907628425587;1;500;-500;-0.990000;-0.990000
1780907628435844;1780907628435844;0;500;-500;-0.990000;-0.990000
1780907628446176;1780907628446178;2;500;-500;-0.990000;-0.990000
1780907628456414;1780907628456415;1;500;-500;-0.990000;-0.990000
1780907628466663;1780907628466665;2;500;-500;-0.990000;-0.990000
1780907628476808;1780907628476809;1;500;-500;-0.990000;-0.990000
1780907628487049;1780907628487049;0;500;-500;-0.990000;-0.990000
1780907628497282;1780907628497283;1;500;-500;-0.990000;-0.990000
1780907628507422;1780907628507424;2;500;-500;-0.990000;-0.990000
1780907628517621;1780907628517622;1;500;-500;-0.990000;-0.990000
1780907628527872;1780907628527874;2;500;-500;-0.990000;-0.990000
1780907628538096;1780907628538097;1;500;-500;-0.990000;-0.990000
1780907628549113;1780907628549114;1;500;-500;-0.990000;-0.990000
1780907628559484;1780907628559485;1;500;-500;-0.990000;-0.990000
1780907628569674;1780907628569675;1;500;-500;-0.990000;-0.990000
1780907628579898;1780907628579899;1;500;-500;-0.990000;-0.990000
1780907628590132;1780907628590134;2;500;-500;-0.990000;-0.990000
1780907628600381;1780907628600382;1;500;-500;-0.990000;-0.990000
1780907628610702;1780907628610703;1;500;-500;-0.990000;-0.990000
1780907628620905;1780907628620906;1;500;-500;-0.990000;-0.990000
1780907628631141;1780907628631142;1;500;-500;-0.990000;-0.990000
1780907628641358;1780907628641359;1;500;-500;-0.990000;-0.990000
1780907628651590;1780907628651592;2;500;-500;-0.990000;-0.990000
1780907628661814;1780907628661815;1;500;-500;-0.990000;-0.990000
